class_ids,detic_classes,remapped_classes
0,aerosol_can,cleaning_product
1,air_conditioner,house_fixtures
2,airplane,other
3,alarm_clock,other
4,alcohol,food
5,alligator,animal
6,almond,food
7,ambulance,other
8,amplifier,electronics
9,anklet,clothing_accessory
10,antenna,electronics
11,apple,food
12,applesauce,food
13,apricot,food
14,apron,clothing
15,aquarium,other
16,arctic_(type_of_shoe),footwear
17,armband,clothing_accessory
18,armchair,furniture
19,armoire,furniture
20,armor,clothing
21,artichoke,food
22,trash_can,cleaning_product
23,ashtray,cleaning_product
24,asparagus,food
25,atomizer,home_appliance_tool
26,avocado,food
27,award,other
28,awning,furniture
29,ax,home_appliance_tool
30,baboon,animal
31,baby_buggy,other
32,basketball_backboard,sports_equipment
33,backpack,bag
34,handbag,bag
35,suitcase,bag
36,bagel,food
37,bagpipe,musical_instrument
38,baguet,food
39,bait,other
40,ball,sports_equipment
41,ballet_skirt,clothing
42,balloon,other
43,bamboo,plant
44,banana,food
45,Band_Aid,other
46,bandage,other
47,bandanna,clothing_accessory
48,banjo,musical_instrument
49,banner,other
50,barbell,sports_equipment
51,barge,other
52,barrel,other
53,barrette,clothing_accessory
54,barrow,home_appliance_tool
55,baseball_base,sports_equipment
56,baseball,sports_equipment
57,baseball_bat,sports_equipment
58,baseball_cap,hat
59,baseball_glove,sports_equipment
60,basket,furniture
61,basketball,sports_equipment
62,bass_horn,musical_instrument
63,bat_(animal),animal
64,bath_mat,furnishing
65,bath_towel,toiletries
66,bathrobe,toiletries
67,bathtub,bathroom_fixture
68,batter_(food),food
69,battery,electronics
70,beachball,sports_equipment
71,bead,other
72,bean_curd,food
73,beanbag,furniture
74,beanie,hat
75,bear,animal
76,bed,furniture
77,bedpan,cleaning_product
78,bedspread,furnishing
79,cow,animal
80,beef_(food),food
81,beeper,other
82,beer_bottle,food
83,beer_can,food
84,beetle,animal
85,bell,other
86,bell_pepper,food
87,belt,clothing_accessory
88,belt_buckle,clothing_accessory
89,bench,furniture
90,beret,hat
91,bib,clothing_accessory
92,Bible,office_stationary
93,bicycle,sports_equipment
94,visor,hat
95,billboard,other
96,binder,office_stationary
97,binoculars,sports_equipment
98,bird,animal
99,birdfeeder,other
100,birdbath,other
101,birdcage,other
102,birdhouse,other
103,birthday_cake,food
104,birthday_card,office_stationary
105,pirate_flag,other
106,black_sheep,animal
107,blackberry,food
108,blackboard,office_stationary
109,blanket,furnishing
110,blazer,clothing
111,blender,kitchen_appliance
112,blimp,other
113,blinker,other
114,blouse,clothing
115,blueberry,food
116,gameboard,other
117,boat,other
118,bob,other
119,bobbin,home_appliance_tool
120,bobby_pin,home_appliance_tool
121,boiled_egg,food
122,bolo_tie,clothing_accessory
123,deadbolt,home_appliance_tool
124,bolt,home_appliance_tool
125,bonnet,hat
126,book,office_stationary
127,bookcase,furniture
